2013-03-18 23:48:47,631 ('jMagic', '', <POST / HTTP/1.1>)
2013-03-18 23:48:47,714 ('jMagic', 'favicon.ico', <GET /favicon.ico HTTP/1.1>)
2013-03-18 23:49:06,989 ('jMagic', '', <POST / HTTP/1.1>)
2013-03-18 23:49:07,045 ('jMagic', 'favicon.ico', <GET /favicon.ico HTTP/1.1>)
2013-03-19 00:00:35,232 ('jMagic', '', <POST / HTTP/1.1>)
2013-03-19 00:00:35,314 ('jMagic', 'favicon.ico', <GET /favicon.ico HTTP/1.1>)
2013-03-19 00:00:37,428 ('jMagic', '', <POST / HTTP/1.1>)
2013-03-19 00:00:37,480 ('jMagic', 'favicon.ico', <GET /favicon.ico HTTP/1.1>)
2013-03-19 00:01:06,687 ('jMagic', '', <POST / HTTP/1.1>)
2013-03-19 00:01:06,761 ('jMagic', 'favicon.ico', <GET /favicon.ico HTTP/1.1>)
2013-03-19 00:01:08,392 ('jMagic', '', <POST / HTTP/1.1>)
2013-03-19 00:01:08,443 ('jMagic', 'favicon.ico', <GET /favicon.ico HTTP/1.1>)
2013-03-19 00:01:15,412 ('jMagic', '', <POST / HTTP/1.1>)
2013-03-19 00:01:15,465 ('jMagic', 'favicon.ico', <GET /favicon.ico HTTP/1.1>)
2015-03-20 10:39:19,301 ('jMagic', '', <GET / HTTP/1.1>)
2015-03-20 10:39:19,564 ('jMagic', 'favicon.ico', <GET /favicon.ico HTTP/1.1>)
2015-03-20 10:39:28,805 ('jMagic', 'index.html', <GET /index.html HTTP/1.1>)
2015-03-20 10:39:28,935 ('jMagic', 'favicon.ico', <GET /favicon.ico HTTP/1.1>)
